DATE,Temperature,Ws,Rain,RH,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region,fire_label
2021-07-16,27,19,0.0,79,85.5,12.3,17.3,5.9,12.0,7.0,not fire,Bejaia,0
2021-07-17,28,19,0.0,55,87.7,15.4,26.1,8.1,15.3,10.3,not fire,Bejaia,0
2021-07-18,29,14,0.0,55,88.3,18.7,34.8,6.8,18.6,9.9,not fire,Bejaia,0
2021-07-19,29,13,0.0,54,88.7,22.2,43.7,6.8,22.1,10.9,not fire,Bejaia,0
2021-07-20,30,15,0.0,52,91.0,26.7,52.8,10.6,26.6,16.9,fire,Bejaia,1
2021-07-21,33,18,0.0,51,92.3,31.9,62.5,15.4,31.8,24.2,fire,Bejaia,1
2021-07-22,34,23,0.0,38,93.7,37.8,72.3,23.0,37.6,34.3,fire,Bejaia,1
2021-07-23,35,18,0.0,35,93.1,42.8,82.3,16.6,42.6,29.2,fire,Bejaia,1
2021-07-24,38,16,0.0,29,89.1,45.8,92.8,8.4,45.7,18.8,fire,Bejaia,1
2021-07-25,35,14,0.0,41,89.2,49.5,102.8,7.7,49.3,18.2,fire,Bejaia,1
2021-07-26,29,12,0.0,67,89.2,53.0,111.8,7.0,52.9,17.7,fire,Bejaia,1
2021-07-27,30,14,0.0,57,89.8,57.1,121.2,8.4,57.0,21.1,fire,Bejaia,1
2021-07-28,35,13,0.0,50,89.9,61.3,131.2,8.1,61.2,21.3,fire,Bejaia,1
2021-07-29,34,12,0.0,47,90.2,65.7,141.0,8.1,65.6,22.0,fire,Bejaia,1
2021-07-30,34,11,0.0,50,90.3,69.8,150.8,7.8,69.7,22.0,fire,Bejaia,1
2021-07-31,37,11,0.2,43,86.1,50.3,152.8,4.3,55.2,12.4,not fire,Bejaia,0
2021-08-01,29,14,0.0,62,86.5,8.4,23.2,5.3,8.8,5.3,not fire,Bejaia,0
2021-08-02,29,26,0.0,84,83.7,9.4,31.4,6.6,10.7,7.3,not fire,Bejaia,0
2021-08-03,31,16,0.2,85,62.0,6.2,33.8,1.0,8.5,0.6,not fire,Bejaia,0
2021-08-04,29,15,0.0,83,75.8,7.3,42.0,1.7,10.2,1.2,not fire,Bejaia,0
2021-08-05,29,18,0.0,85,79.9,8.2,50.3,2.8,11.7,3.1,not fire,Bejaia,0
2021-08-06,32,12,0.0,46,89.1,11.9,59.0,6.9,15.8,9.2,not fire,Bejaia,0
2021-08-07,32,15,0.0,45,90.2,15.7,67.8,9.4,19.9,13.3,fire,Bejaia,1
2021-08-08,30,14,0.0,57,89.5,18.4,76.2,8.1,23.0,12.7,not fire,Bejaia,0
2021-08-09,36,13,0.0,63,89.4,21.3,85.7,7.9,26.2,13.4,fire,Bejaia,1
2021-08-10,42,17,0.0,26,95.6,27.8,96.2,22.2,32.3,31.3,fire,Bejaia,1
2021-08-11,37,13,0.0,38,94.1,32.7,105.9,14.8,36.9,25.2,fire,Bejaia,1
2021-08-12,39,13,0.0,29,94.6,38.6,115.9,15.7,42.1,28.0,fire,Bejaia,1
2021-08-13,36,13,0.0,36,94.2,43.5,125.4,15.0,46.6,28.5,fire,Bejaia,1
2021-08-14,35,14,0.0,37,93.9,48.2,134.7,15.0,50.9,29.7,fire,Bejaia,1
2021-08-15,35,19,0.0,36,93.9,53.0,144.0,19.5,55.2,36.7,fire,Bejaia,1
2021-08-16,34,14,0.0,42,93.2,57.4,153.5,13.6,59.3,29.9,fire,Bejaia,1
2021-08-17,29,22,0.1,84,73.2,48.8,161.7,2.1,55.6,6.9,not fire,Bejaia,0
2021-08-18,28,19,0.0,80,80.5,50.0,169.8,3.1,57.6,9.8,not fire,Bejaia,0
2021-08-19,31,19,0.0,63,86.2,52.5,178.4,6.5,60.5,17.9,fire,Bejaia,1
2021-08-20,32,13,0.0,53,88.6,55.7,187.1,6.7,63.8,19.0,fire,Bejaia,1
2021-08-21,33,21,0.0,54,88.8,58.9,196.1,10.4,67.3,26.6,fire,Bejaia,1
2021-08-22,35,23,0.0,38,92.0,63.5,205.4,18.1,71.6,39.7,fire,Bejaia,1
2021-08-23,34,17,0.0,39,92.0,67.9,214.5,13.5,75.8,33.6,fire,Bejaia,1
2021-08-24,31,18,0.0,59,89.4,70.7,223.1,9.8,78.9,27.6,fire,Bejaia,1
2021-08-25,32,17,0.1,57,83.0,61.0,231.7,3.8,73.6,13.3,not fire,Bejaia,0
2021-08-26,33,16,0.0,72,85.2,63.0,240.6,4.9,76.2,16.4,fire,Bejaia,1
2021-08-27,34,12,0.0,70,86.0,65.2,249.7,4.4,78.9,15.6,not fire,Bejaia,0
2021-08-28,37,14,0.0,37,92.3,70.1,259.4,12.1,83.7,32.8,fire,Bejaia,1
2021-08-29,32,18,0.0,86,83.8,71.1,268.2,4.4,85.5,16.3,fire,Bejaia,1
2021-08-30,33,19,0.0,76,84.6,72.8,277.1,5.2,87.9,18.7,fire,Bejaia,1
2021-08-31,32,17,0.0,60,87.3,75.5,285.9,6.9,91.0,23.3,fire,Bejaia,1
2021-09-01,37,28,0.9,68,78.8,4.5,8.4,4.1,4.3,2.8,not fire,Bejaia,0
2021-09-02,32,18,0.0,75,83.8,5.9,15.8,4.4,6.4,3.7,not fire,Bejaia,0
2021-09-03,31,14,0.0,85,83.6,6.8,23.3,3.5,7.8,3.2,not fire,Bejaia,0
2021-09-04,32,17,0.0,87,83.1,7.5,30.6,3.8,9.3,3.9,not fire,Bejaia,0
2021-09-05,33,18,0.0,79,83.7,8.8,38.0,4.4,11.1,5.0,not fire,Bejaia,0
2021-09-06,32,20,0.0,49,89.3,11.9,45.7,10.6,14.4,12.6,fire,Bejaia,1
2021-09-07,34,19,0.0,51,89.4,14.8,53.1,10.2,17.4,13.3,fire,Bejaia,1
2021-09-08,36,11,0.1,42,87.1,15.2,61.0,4.9,18.7,7.6,not fire,Bejaia,0
2021-09-09,33,14,0.1,91,67.2,12.5,69.2,1.2,17.3,1.0,not fire,Bejaia,0
2021-09-10,32,17,0.0,80,80.3,13.8,76.8,2.8,19.0,4.3,not fire,Bejaia,0
2021-09-11,31,15,0.3,75,32.0,7.3,66.1,0.0,11.4,0.0,not fire,Bejaia,0
2021-09-12,32,17,0.0,59,78.5,9.6,73.4,2.3,14.5,2.9,not fire,Bejaia,0
2021-09-13,34,21,0.0,48,89.4,12.9,81.2,11.3,18.4,14.8,fire,Bejaia,1
2021-09-14,37,14,0.0,42,91.6,16.8,89.6,10.9,22.9,16.0,fire,Bejaia,1
2021-09-15,35,13,0.0,55,90.7,19.7,97.6,9.1,26.2,14.9,fire,Bejaia,1
2021-09-16,34,9,0.0,86,84.1,20.6,105.4,2.9,27.7,5.9,not fire,Bejaia,0
2021-09-17,34,14,0.0,56,88.3,23.3,113.2,6.7,30.8,12.9,not fire,Bejaia,0
2021-09-18,31,15,0.0,76,86.1,24.7,120.5,5.3,32.7,10.9,not fire,Bejaia,0
2021-09-19,30,13,0.0,77,85.6,26.0,127.6,4.4,34.4,9.7,not fire,Bejaia,0
2021-09-20,26,13,1.8,92,31.1,7.7,6.4,0.0,7.2,0.0,not fire,Bejaia,0
2021-09-21,28,14,0.3,77,57.1,5.6,41.0,0.7,8.4,0.4,not fire,Bejaia,0
2021-09-22,30,16,0.6,81,54.8,3.3,24.1,0.7,4.9,0.3,not fire,Bejaia,0
2021-09-23,34,18,0.0,62,84.1,5.6,31.9,4.9,7.8,4.6,not fire,Bejaia,0
2021-09-24,38,8,0.0,36,92.5,10.1,40.4,9.2,12.4,10.4,fire,Bejaia,1
2021-09-25,36,9,0.0,51,91.6,13.3,48.6,8.4,15.8,10.9,fire,Bejaia,1
2021-09-26,28,12,0.0,75,86.3,14.6,55.4,4.6,17.6,6.9,not fire,Bejaia,0
2021-09-27,26,12,0.0,90,81.5,15.1,61.7,2.4,18.7,3.8,not fire,Bejaia,0
2021-09-28,29,12,0.0,85,81.6,15.9,68.7,2.5,20.1,4.0,not fire,Bejaia,0
2021-09-29,28,14,0.0,71,84.3,17.4,75.4,3.9,22.1,6.6,not fire,Bejaia,0
2021-09-30,27,18,0.0,86,82.8,18.1,82.0,3.9,23.3,6.9,not fire,Bejaia,0
2021-06-01,33,12,1.4,61,70.5,5.7,9.3,1.2,5.5,0.5,not fire,Blida,0
2021-06-02,28,14,1.0,82,48.5,3.5,8.4,0.3,3.5,0.1,not fire,Blida,0
2021-06-03,30,14,1.1,70,71.0,4.5,17.2,1.3,5.4,0.6,not fire,Blida,0
2021-06-04,31,10,3.9,58,65.8,5.0,9.0,0.9,4.8,0.4,not fire,Blida,0
2021-06-05,31,9,1.1,58,65.9,5.3,9.0,0.9,5.1,0.4,not fire,Blida,0
2021-06-06,23,12,2.0,93,22.5,2.3,7.5,0.0,2.6,0.0,not fire,Blida,0
2021-06-07,26,13,0.0,83,53.7,3.5,15.6,0.5,4.5,0.2,not fire,Blida,0
2021-06-08,30,12,0.0,34,87.4,8.9,24.4,5.7,9.3,5.7,not fire,Blida,0
2021-06-09,32,15,0.0,36,91.6,14.5,33.6,11.0,14.5,12.9,fire,Blida,1
2021-06-10,33,14,0.0,36,92.1,20.2,42.9,11.7,20.2,15.9,fire,Blida,1
2021-06-11,34,16,0.0,34,92.7,26.3,52.5,14.1,26.2,20.7,fire,Blida,1
2021-06-12,32,14,0.0,33,92.7,32.2,61.6,12.8,32.0,21.2,fire,Blida,1
2021-06-13,35,12,0.0,35,92.8,38.4,71.3,11.6,38.2,21.7,fire,Blida,1
2021-06-14,34,14,0.0,47,91.9,43.3,80.9,11.4,43.1,22.7,fire,Blida,1
2021-06-15,37,14,0.1,37,90.3,42.5,90.9,9.0,42.4,19.0,fire,Blida,1
2021-06-16,30,13,0.0,57,89.5,46.0,99.7,7.7,45.9,17.6,fire,Blida,1
2021-06-17,27,16,0.6,67,64.7,22.8,80.2,1.2,26.7,19.0,not fire,Blida,0
2021-06-18,33,7,9.4,66,59.9,10.1,9.3,0.6,9.7,0.3,not fire,Blida,0
2021-06-19,25,15,0.1,67,70.9,9.8,17.2,1.4,9.7,0.8,not fire,Blida,0
2021-06-20,27,15,0.0,63,83.4,12.6,25.5,3.6,12.5,4.4,not fire,Blida,0
2021-06-21,29,15,0.0,42,89.6,17.1,34.1,8.6,17.0,11.6,fire,Blida,1
2021-06-22,29,15,0.0,51,89.7,21.0,42.8,8.7,20.9,12.9,not fire,Blida,0
2021-06-23,27,14,0.0,72,86.5,23.1,51.0,5.3,23.0,9.0,not fire,Blida,0
2021-06-24,28,20,0.0,51,88.3,26.9,59.5,9.2,26.8,15.3,fire,Blida,1
2021-06-25,29,18,0.0,84,83.9,28.1,68.1,4.5,28.1,8.8,not fire,Blida,0
2021-06-26,31,15,0.0,57,87.5,31.8,77.1,6.4,31.7,12.6,not fire,Blida,0
2021-06-27,30,14,0.0,80,85.1,33.4,85.9,4.3,33.9,9.4,not fire,Blida,0
2021-06-28,31,15,0.0,56,87.8,37.1,94.9,6.7,37.5,14.2,fire,Blida,1
2021-06-29,31,16,0.0,42,90.4,42.0,103.8,9.7,42.0,19.9,fire,Blida,1
2021-06-30,31,17,0.0,38,91.3,47.3,112.8,12.2,47.2,24.9,fire,Blida,1
2021-07-01,33,14,0.0,53,88.7,9.8,24.6,7.2,9.8,7.5,not fire,Blida,0
2021-07-02,35,14,0.0,44,90.8,14.5,34.6,9.8,14.5,11.8,fire,Blida,1
2021-07-03,35,14,0.0,30,93.6,20.4,44.7,14.3,20.4,18.6,fire,Blida,1
2021-07-04,36,14,0.0,28,94.3,26.7,54.8,15.8,26.6,22.6,fire,Blida,1
2021-07-05,38,14,0.0,23,95.6,33.8,65.4,19.1,33.6,28.8,fire,Blida,1
2021-07-06,36,14,0.0,27,95.7,40.2,75.6,19.2,40.0,31.3,fire,Blida,1
2021-07-07,34,15,0.0,33,94.6,45.7,85.4,17.4,45.5,31.1,fire,Blida,1
2021-07-08,30,17,0.0,74,86.8,47.6,94.5,6.4,47.4,15.6,fire,Blida,1
2021-07-09,33,17,0.0,77,86.1,49.4,104.1,5.8,49.3,14.8,not fire,Blida,0
2021-07-10,37,14,0.0,63,87.8,52.7,114.5,6.3,52.6,16.3,fire,Blida,1
2021-07-11,40,14,0.0,33,93.8,59.2,125.4,14.8,59.1,31.6,fire,Blida,1
2021-07-12,37,14,0.0,25,95.0,65.9,135.8,17.6,65.8,37.4,fire,Blida,1
2021-07-13,31,18,0.1,71,79.7,56.7,145.1,2.7,57.3,8.8,not fire,Blida,0
2021-07-14,30,18,0.0,78,82.9,58.3,154.2,4.0,59.9,12.2,not fire,Blida,0
2021-07-15,30,17,0.2,57,77.7,41.2,154.8,2.2,49.5,6.4,not fire,Blida,0
2021-07-16,32,17,0.0,80,82.4,42.7,164.3,3.5,51.8,10.2,not fire,Blida,0
2021-07-17,35,15,0.0,29,93.3,48.7,174.3,14.6,57.4,31.0,fire,Blida,1
2021-07-18,35,15,0.0,32,93.4,54.5,184.3,14.7,62.7,32.5,fire,Blida,1
2021-07-19,33,16,0.0,50,91.3,58.5,193.9,11.6,66.7,28.5,fire,Blida,1
2021-07-20,34,16,0.0,41,91.4,63.4,203.8,11.7,71.3,29.6,fire,Blida,1
2021-07-21,37,15,0.0,26,94.7,70.0,214.1,17.8,77.0,40.6,fire,Blida,1
2021-07-22,37,14,0.0,21,95.9,77.1,224.5,19.8,82.9,45.0,fire,Blida,1
2021-07-23,40,14,0.0,22,96.2,84.6,235.4,20.7,89.1,47.9,fire,Blida,1
2021-07-24,41,10,0.0,20,96.8,92.5,246.5,18.3,95.4,45.7,fire,Blida,1
2021-07-25,37,15,0.0,27,96.2,99.0,256.8,21.7,100.8,52.2,fire,Blida,1
2021-07-26,30,14,0.7,56,72.4,49.0,218.4,1.4,62.8,4.9,not fire,Blida,0
2021-07-27,32,14,0.0,73,82.9,51.1,227.9,3.2,65.5,10.9,not fire,Blida,0
2021-07-28,37,13,0.0,46,90.5,55.9,238.3,8.8,70.5,24.3,fire,Blida,1
2021-07-29,35,13,0.0,47,90.5,60.4,248.3,8.9,75.1,25.2,fire,Blida,1
2021-07-30,38,14,0.0,51,90.6,64.9,258.8,9.4,79.8,27.1,fire,Blida,1
2021-07-31,38,11,0.0,32,90.6,69.3,269.3,8.2,84.4,25.2,fire,Blida,1
2021-08-01,30,15,0.0,45,89.5,9.5,23.4,8.4,9.5,8.6,not fire,Blida,0
2021-08-02,30,15,0.0,69,87.4,11.5,31.8,6.3,12.1,7.5,not fire,Blida,0
2021-08-03,29,15,0.1,83,71.2,9.8,40.0,1.4,12.2,0.9,not fire,Blida,0
2021-08-04,29,15,0.0,83,78.9,10.9,48.3,2.2,13.9,2.6,not fire,Blida,0
2021-08-05,33,15,0.0,69,85.2,13.0,57.2,4.6,16.6,6.6,not fire,Blida,0
2021-08-06,35,14,0.0,39,91.5,17.6,66.5,10.8,21.2,15.3,fire,Blida,1
2021-08-07,35,14,0.0,35,92.6,22.4,75.8,12.6,25.8,18.9,fire,Blida,1
2021-08-08,33,16,0.0,52,90.9,25.8,84.8,11.0,29.3,18.2,fire,Blida,1
2021-08-09,35,13,0.0,70,88.0,28.1,94.1,6.2,32.1,12.4,not fire,Blida,0
2021-08-10,39,14,0.0,38,92.6,33.2,104.1,12.6,36.9,22.5,fire,Blida,1
2021-08-11,42,12,0.0,24,96.1,39.9,114.6,18.3,42.7,31.3,fire,Blida,1
2021-08-12,40,15,0.0,22,96.2,46.6,124.8,20.7,48.2,35.9,fire,Blida,1
2021-08-13,40,14,0.0,24,96.3,53.2,135.1,20.8,53.6,37.9,fire,Blida,1
2021-08-14,41,14,0.0,18,97.2,60.3,145.4,23.7,60.3,43.4,fire,Blida,1
2021-08-15,39,14,0.0,17,97.3,67.2,155.5,23.8,67.1,45.9,fire,Blida,1
2021-08-16,37,15,0.0,24,96.8,73.2,165.1,23.5,73.1,47.3,fire,Blida,1
2021-08-17,32,18,0.0,73,87.3,75.0,173.9,7.2,74.9,21.8,fire,Blida,1
2021-08-18,33,17,0.0,87,83.4,75.9,182.8,4.0,75.9,14.1,not fire,Blida,0
2021-08-19,35,14,0.0,56,88.4,79.2,192.1,6.9,79.2,21.6,fire,Blida,1
2021-08-20,33,14,0.0,69,87.8,81.4,201.1,6.3,81.4,20.6,fire,Blida,1
2021-08-21,38,14,0.0,30,94.0,87.0,210.9,15.2,87.0,38.9,fire,Blida,1
2021-08-22,36,12,0.0,22,95.5,93.0,220.4,16.9,93.0,43.0,fire,Blida,1
2021-08-23,37,16,0.0,39,93.9,97.8,230.1,16.7,97.7,43.7,fire,Blida,1
2021-08-24,35,12,0.0,56,90.7,101.1,239.4,8.6,101.0,28.6,fire,Blida,1
2021-08-25,31,14,2.9,55,71.5,43.7,76.3,1.3,43.5,3.6,not fire,Blida,0
2021-08-26,35,14,0.5,73,68.5,22.4,64.1,1.2,23.9,1.8,not fire,Blida,0
2021-08-27,39,14,0.0,48,90.4,26.9,74.1,9.1,28.2,15.6,fire,Blida,1
2021-08-28,35,13,0.1,37,89.2,26.9,83.4,7.3,29.8,13.5,not fire,Blida,0
2021-08-29,35,14,0.0,59,89.2,29.9,92.7,7.7,33.1,14.9,fire,Blida,1
2021-08-30,34,14,0.0,71,87.6,32.0,101.8,6.2,35.9,13.0,not fire,Blida,0
2021-08-31,35,12,0.6,59,75.7,16.2,83.3,1.5,21.8,2.2,not fire,Blida,0
2021-09-01,38,16,1.4,45,84.3,6.0,8.5,4.3,5.8,3.4,not fire,Blida,0
2021-09-02,30,17,0.2,87,59.3,3.8,9.8,0.9,3.8,0.4,not fire,Blida,0
2021-09-03,30,14,0.4,92,36.7,1.8,7.1,0.0,2.2,0.0,not fire,Blida,0
2021-09-04,35,16,0.2,91,45.1,0.9,9.2,0.2,1.5,0.1,not fire,Blida,0
2021-09-05,37,16,0.0,66,82.6,3.2,17.6,3.4,4.4,2.2,not fire,Blida,0
2021-09-06,38,15,0.0,33,93.2,7.9,26.2,14.4,9.0,13.0,fire,Blida,1
2021-09-07,41,14,0.0,25,95.7,13.5,35.2,19.3,13.8,19.5,fire,Blida,1
2021-09-08,39,13,0.0,40,94.1,17.8,44.0,14.7,17.8,17.8,fire,Blida,1
2021-09-09,33,16,0.0,72,87.5,19.5,51.6,6.7,20.1,10.2,not fire,Blida,0
2021-09-10,33,17,0.0,53,88.9,22.3,59.3,8.6,23.0,13.4,fire,Blida,1
2021-09-11,33,16,0.0,69,87.8,24.2,66.9,7.0,25.4,12.0,not fire,Blida,0
2021-09-12,36,14,0.0,43,91.1,28.0,75.1,10.2,29.0,17.1,fire,Blida,1
2021-09-13,38,14,0.0,32,93.7,32.7,83.6,14.7,33.1,23.8,fire,Blida,1
2021-09-14,39,21,0.0,28,94.8,37.9,92.3,24.2,37.9,35.6,fire,Blida,1
2021-09-15,38,27,0.0,44,93.1,41.8,100.9,26.1,41.7,39.1,fire,Blida,1
2021-09-16,39,8,0.0,82,86.0,43.0,109.6,3.6,43.4,9.4,not fire,Blida,0
2021-09-17,32,16,0.5,87,52.5,20.8,93.8,0.5,26.8,0.5,not fire,Blida,0
2021-09-18,32,14,0.0,90,67.8,21.4,101.2,1.2,28.0,2.0,not fire,Blida,0
2021-09-19,31,14,0.0,81,79.1,22.5,108.5,2.1,29.6,4.4,not fire,Blida,0
2021-09-20,28,15,0.2,67,70.8,15.8,107.7,1.4,23.1,2.1,not fire,Blida,0
2021-09-21,30,8,0.1,90,58.2,13.0,114.8,0.5,20.3,0.5,not fire,Blida,0
2021-09-22,33,8,1.1,80,49.8,6.5,68.7,0.2,10.5,0.1,not fire,Blida,0
2021-09-23,34,11,0.3,54,75.4,5.8,64.9,1.4,9.5,0.8,not fire,Blida,0
2021-09-24,37,8,0.0,43,90.3,9.7,73.3,6.7,14.6,8.6,fire,Blida,1
2021-09-25,33,13,0.0,69,87.9,11.6,80.9,6.1,17.1,8.7,not fire,Blida,0
2021-09-26,31,13,0.0,86,83.5,12.4,88.2,3.3,18.3,5.1,not fire,Blida,0
2021-09-27,28,13,0.0,89,81.8,13.0,95.0,2.7,19.3,4.2,not fire,Blida,0
2021-09-28,31,13,0.0,61,86.5,15.2,102.2,5.0,22.2,8.4,not fire,Blida,0
2021-09-29,31,16,0.0,61,87.2,17.4,109.5,6.4,24.9,11.1,not fire,Blida,0
2021-09-30,28,16,0.0,77,85.4,18.6,116.3,5.0,26.6,9.3,not fire,Blida,0
2021-06-01,34,13,0.0,66,75.5,6.5,9.3,1.4,6.2,0.7,not fire,Bouira,0
2021-06-02,38,13,0.0,39,58.2,4.6,8.4,0.7,4.5,0.3,not fire,Bouira,0
2021-06-03,37,14,0.0,26,54.8,3.6,9.0,0.5,3.6,0.2,not fire,Bouira,0
2021-06-04,37,15,0.0,25,69.9,5.1,9.0,0.9,4.9,0.4,not fire,Bouira,0
2021-06-05,40,13,0.0,20,62.3,4.7,9.2,0.7,4.6,0.3,not fire,Bouira,0
2021-06-06,38,15,0.0,21,29.8,2.3,7.7,0.0,2.7,0.0,not fire,Bouira,0
2021-06-07,35,15,0.0,29,52.8,3.2,15.8,0.4,4.2,0.2,not fire,Bouira,0
2021-06-08,30,15,0.0,67,81.3,6.7,24.4,2.3,7.9,1.7,not fire,Bouira,0
2021-06-09,34,15,0.0,83,90.0,11.7,33.6,8.2,12.5,9.6,not fire,Bouira,0
2021-06-10,38,13,0.0,57,92.4,17.6,42.8,12.2,17.5,15.4,fire,Bouira,1
2021-06-11,42,14,0.0,34,92.4,22.9,52.1,12.3,22.9,17.5,fire,Bouira,1
2021-06-12,41,16,0.0,19,92.5,28.7,61.4,11.7,28.6,18.9,fire,Bouira,1
2021-06-13,31,16,0.2,67,94.0,35.6,71.3,14.5,35.5,24.4,fire,Bouira,1
2021-06-14,29,15,0.0,85,94.1,42.5,81.2,15.4,42.3,27.6,fire,Bouira,1
2021-06-15,32,16,0.6,55,89.5,34.5,84.2,7.3,34.4,14.5,fire,Bouira,1
2021-06-16,33,15,0.1,83,87.7,34.3,93.9,4.8,35.9,10.7,not fire,Bouira,0
2021-06-17,33,14,0.0,47,71.9,17.2,75.6,1.5,35.9,2.3,not fire,Bouira,0
2021-06-18,34,14,0.0,38,71.3,8.5,10.2,2.2,22.0,1.7,not fire,Bouira,0
2021-06-19,32,15,0.0,51,81.2,9.1,9.3,2.8,8.2,2.5,not fire,Bouira,0
2021-06-20,34,14,0.0,50,73.8,8.6,17.8,1.5,8.7,0.9,not fire,Bouira,0
2021-06-21,38,16,0.0,33,81.2,11.8,26.4,4.3,8.5,5.1,not fire,Bouira,0
2021-06-22,40,19,0.0,23,73.8,15.7,35.0,7.3,11.7,9.7,not fire,Bouira,0
2021-06-23,41,14,0.0,22,85.1,17.8,43.5,5.4,15.7,8.0,not fire,Bouira,0
2021-06-24,42,13,0.0,23,88.4,21.5,52.1,7.0,21.5,10.9,not fire,Bouira,0
2021-06-25,38,14,0.1,33,86.4,23.0,61.1,4.3,23.7,7.7,not fire,Bouira,0
